question,sql
Show name from students where id >= 100,SELECT name FROM students WHERE id >= 100;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Show age from students where name <= 40,SELECT age FROM students WHERE name <= 40;
Find average id in students,SELECT AVG(id) FROM students;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in products,SELECT COUNT(*) FROM products;
Show name from products where price < 10,SELECT name FROM products WHERE price < 10;
Show all customers,SELECT * FROM customers;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Show order_id from orders where status <= 100,SELECT order_id FROM orders WHERE status <= 100;
List all amount from orders,SELECT amount FROM orders;
Find all records in customers where membership = 90,SELECT * FROM customers WHERE membership = 90;
Count all rows in students,SELECT COUNT(*) FROM students;
List all category from products,SELECT category FROM products;
Show all customers,SELECT * FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show department from students where id > 70,SELECT department FROM students WHERE id > 70;
Find all records in employees where salary >= 20,SELECT * FROM employees WHERE salary >= 20;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
List all salary from employees,SELECT salary FROM employees;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Find average date in orders,SELECT AVG(date) FROM orders;
Find maximum name in customers,SELECT MAX(name) FROM customers;
Show all orders,SELECT * FROM orders;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show name from students where department = 80,SELECT name FROM students WHERE department = 80;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find minimum city in customers,SELECT MIN(city) FROM customers;
List all salary from employees,SELECT salary FROM employees;
Show name from products where stock <= 50,SELECT name FROM products WHERE stock <= 50;
Find minimum date in orders,SELECT MIN(date) FROM orders;
Find average marks in students,SELECT AVG(marks) FROM students;
List all salary from employees,SELECT salary FROM employees;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Show all customers,SELECT * FROM customers;
Find maximum department in students,SELECT MAX(department) FROM students;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Find all records in customers where city = 40,SELECT * FROM customers WHERE city = 40;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
Find maximum name in students,SELECT MAX(name) FROM students;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
List all id from students,SELECT id FROM students;
Find average age in employees,SELECT AVG(age) FROM employees;
Show all customers ordered by city,SELECT * FROM customers ORDER BY city;
Show all customers,SELECT * FROM customers;
Show all customers,SELECT * FROM customers;
Find all records in orders where status = 80,SELECT * FROM orders WHERE status = 80;
Find average date in orders,SELECT AVG(date) FROM orders;
List all city from customers,SELECT city FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
List all name from products,SELECT name FROM products;
Find all records in customers where city <= 100,SELECT * FROM customers WHERE city <= 100;
Show all customers,SELECT * FROM customers;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
List all name from products,SELECT name FROM products;
Find all records in customers where age >= 30,SELECT * FROM customers WHERE age >= 30;
Show status from orders where order_id >= 70,SELECT status FROM orders WHERE order_id >= 70;
Find maximum department in employees,SELECT MAX(department) FROM employees;
List all department from students,SELECT department FROM students;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in orders where amount > 70,SELECT * FROM orders WHERE amount > 70;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Find all records in employees where age < 80,SELECT * FROM employees WHERE age < 80;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Find minimum customer_id in customers,SELECT MIN(customer_id) FROM customers;
Show all students,SELECT * FROM students;
Show all products,SELECT * FROM products;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in employees where salary < 70,SELECT * FROM employees WHERE salary < 70;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Find all records in students where id >= 40,SELECT * FROM students WHERE id >= 40;
Show status from orders where amount >= 100,SELECT status FROM orders WHERE amount >= 100;
Find all records in students where id < 50,SELECT * FROM students WHERE id < 50;
List all age from students,SELECT age FROM students;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Show name from employees where id <= 30,SELECT name FROM employees WHERE id <= 30;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find minimum price in products,SELECT MIN(price) FROM products;
Find all records in products where category = 90,SELECT * FROM products WHERE category = 90;
Show all orders,SELECT * FROM orders;
List all marks from students,SELECT marks FROM students;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Show all customers,SELECT * FROM customers;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
List all name from products,SELECT name FROM products;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find all records in orders where customer_id > 40,SELECT * FROM orders WHERE customer_id > 40;
Find minimum age in students,SELECT MIN(age) FROM students;
Show all products,SELECT * FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all employees,SELECT * FROM employees;
Show all students,SELECT * FROM students;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find all records in products where price <= 100,SELECT * FROM products WHERE price <= 100;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Show all orders,SELECT * FROM orders;
List all age from students,SELECT age FROM students;
Find minimum city in customers,SELECT MIN(city) FROM customers;
List all price from products,SELECT price FROM products;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Show name from students where id < 70,SELECT name FROM students WHERE id < 70;
Find all records in orders where status = 20,SELECT * FROM orders WHERE status = 20;
Find average name in customers,SELECT AVG(name) FROM customers;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Show all employees,SELECT * FROM employees;
Find all records in employees where id = 100,SELECT * FROM employees WHERE id = 100;
Show department from employees where salary > 90,SELECT department FROM employees WHERE salary > 90;
List all category from products,SELECT category FROM products;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum name in students,SELECT MAX(name) FROM students;
List all amount from orders,SELECT amount FROM orders;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find all records in orders where amount <= 10,SELECT * FROM orders WHERE amount <= 10;
Find all records in products where stock > 10,SELECT * FROM products WHERE stock > 10;
Find average date in orders,SELECT AVG(date) FROM orders;
List all name from products,SELECT name FROM products;
List all marks from students,SELECT marks FROM students;
Show all students,SELECT * FROM students;
List all status from orders,SELECT status FROM orders;
List all age from customers,SELECT age FROM customers;
Find minimum status in orders,SELECT MIN(status) FROM orders;
List all salary from employees,SELECT salary FROM employees;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Show all customers,SELECT * FROM customers;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find average id in students,SELECT AVG(id) FROM students;
List all age from customers,SELECT age FROM customers;
Show date from orders where date <= 20,SELECT date FROM orders WHERE date <= 20;
Show all employees,SELECT * FROM employees;
Show city from customers where membership >= 10,SELECT city FROM customers WHERE membership >= 10;
